book_name,author,book_url,img_url,rating,pages,pub_date,genres,genres_clean,synopsis,data_source,source_list,cluster_f1b,cluster_name,clusterable,mood_scored,mood,mood_secondary,emotion,emotion_secondary,emotion_conf,mood_low_conf,emo_anger,emo_disgust,emo_fear,emo_joy,emo_neutral,emo_sadness,emo_surprise
Lia Dàn: Stone of Destiny Revised Edition II,James Raquepau,https://www.goodreads.com/book/show/209485602-lia-d-n,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1709578252i/209485602.jpg,4.93,355.0,2024,Fantasy,['fantasy'],"After Breanna Ban Morna frees her chief but fails to slay her Norse father,Ćroí Dànjoins Erin’s Hero. The Heart of Destiny leads Breanna and her warriors to seek outLia Dànwhile evading the Dreadlord’s pursuit. With the support of her Tuatha Gods and their Druids, Breanna must once more battle Fomorian demons to reach a portal that will take them to the magical land ofTír na nÓg, called Falias by the Tuatha, where the Stone of Destiny lay in the Mother Goddess Danu’s hands.Having acquired the Stone of Destiny, Breanna returns to Erin with a blessing from All-Father to seek the place where she must wield the Tuatha destiny-shaping magic, a place defended by the Dreadlord. While her band of warriors battles the Norsemen, Erin’s Hero uses an invisibility cloak provided by Dagda to bring the magicalTriple Dànsto Erin’s Altar, wielding them to remove her father and his ilk from her land, a feat that would warp the Emerald Isle’s fabric of time—and claim Breanna’s soul!",GoodReads,The Best Epic Fantasy (fiction),,,False,True,Suspenseful,Contemplative,fear,neutral,0.5909224152565002,False,0.14389635622501373,0.022186657413840294,0.5909224152565002,0.03146564960479736,0.1645384281873703,0.02509487234055996,0.021895617246627808
Viciously Yours,Jamie Applegate Hunter,https://www.goodreads.com/book/show/205404157-viciously-yours,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1753442907i/205404157.jpg,3.59,258.0,2024,Fantasy|Romantasy|Romance|Fae|Fantasy Romance|Dark Romance|Magic,"['fantasy', 'romance']","""I don't need a line to know what's considered good or bad, but if I did, there isn't a line I wouldn't cross for you.""When Rennick was thirteen, the gods bestowed upon him the name of his fated mate--ahumangirl. As the sole heir to the Mountain Kingdom, magic bound him to his kingdom until he ascended the throne on his twenty-fifth birthday, and as a human, she couldn't cross the magical barrier separating the humans from the fae. Heartsore and consumed with thoughts of her, he did the only thing he could and sent her anonymous letters and gifts…Until he crossed the barrier into her kingdom to claim her as his own.Six months after Amelia's thirteenth birthday, she received a strange letter from a fae boy claiming her as his mate. Humans weren't taught much about the fae, and one look at the horrifying doll meant to be her belated birthday gift solidified her suspicions that someone was playing a cruel joke. Except the letters and odd gifts kept coming. Against her better judgment, Amelia fell in love with her mysterious admirer throughout the years, certain they would never meet. But on her twenty-fifth birthday, her walk to work was interrupted by two familiar words she'd read a million times.""Hello, love.""Viciously Yours is a new adult fantasy romance long novella/short novel of about 60k words/250 pages. It is fast-paced and focuses solely on the relationship between the two main characters. There is no overarching background plot. Example: Rebels attack the kingdoms, but there is no story as to why because it just is.The couple does have minor obstacles, but there is no miscommunication trope, no third act breakup, and no cheating.PLEASE NOTE: The male main character does a few morally black things to those he deems a threat to his relationship. There are no shades of grey.CONTENT WARNINGS:Orphaned heroine, gore, unethical kills and decisions by main characters, death of a parent, mature language, explicit sexual situations, graphic violence and death",GoodReads,The Best Epic Fantasy (fiction),0.0,Romance + Fantasy,True,True,Suspenseful,Gritty,fear,disgust,0.8826823830604553,False,0.022409675642848015,0.05636676028370857,0.8826823830604553,0.0019813256803900003,0.020594460889697075,0.006136148702353239,0.009829159826040268
The Festival of Insignificance,Milan Kundera,https://play.google.com/store/books/details?id=x093EAAAQBAJ&source=gbs_api,http://books.google.com/books/content?id=x093EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.326923076923077,94.0,2023,Fiction,['fiction'],"“Slender but weighty. . . . What is moving about this novel is its embrace of what has always driven Kundera, the delicate state of living between being and nothingness.”— Boston Globe From the internationally acclaimed, bestselling author of The Unbearable Lightness of Being, an entertaining and enchanting novel—""a fitting capstone on an extraordinary career."" (Slate) Casting light on the most serious of problems and at the same time saying not one serious sentence; being fascinated by the reality of the contemporary world and at the same time completely avoiding realism—that’s The Festival of Insignificance. Readers who know Milan Kundera’s earlier books know that the wish to incorporate an element of the “unserious” in a novel is not at all unexpected of him. In Immortality, Goethe and Hemingway stroll through several chapters together talking and laughing. And in Slowness, Vera, the author’s wife, says to her husband: “you’ve often told me you meant to write a book one day that would have not a single serious word in it…I warn you: watch out. Your enemies are lying in wait.” Kundera is finally and fully realizing his old aesthetic dream in this novel that we could easily view as a summation of his whole work. A strange sort of summation. Strange sort of epilogue. Strange sort of laughter, inspired by our time, which is comical because it has lost all sense of humor. What more can we say? Nothing. Just read.",google_books,Best Books Ever,,,False,True,Uplifting,Contemplative,joy,neutral,0.5567268133163452,False,0.00893439445644617,0.02283790335059166,0.09223958849906921,0.5567268133163452,0.22726048529148102,0.014802595600485802,0.07719823718070984
The Three Witches and The Master,Max Nowaz,https://www.goodreads.com/book/show/208051245-the-three-witches-and-the-master,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1707837803i/208051245.jpg,4.3,297.0,2023,Fiction|Novels|Adventure|Ebooks|Science Fiction Fantasy|Fantasy|High Fantasy,"['adventure', 'fantasy', 'fiction', 'literary', 'science_fiction']","When a beautiful naked woman Eve, unexpectedly turns up at his back door, Adam, an amateur wizard, is not sure if it is his good fortune or not. The young woman has an attitude and starts bossing him around straightaway, issuing commands; which strikes Adam that she may be a practitioner of the black arts.Adam, who has been dabbling with spells from a book he has found in the basement of a derelict house, decides to play along with her until he learns more. Adam soon discovers that she is a witch, and she somehow, has been transported from the 1950s to the present day.Meanwhile, he has been having some terrible nightmares. A being, who calls himself The Master is haunting him and is after his book of magic. In recurring dreams, Adam meets his demise several times in the Master’s hands and is unable to find a way to escape him.Adam can’t tell if Eve is going to turn out to be his friend or a foe and tries to keep his own abilities a secret from her. He is also hiding another terrible secret from her, which he knows will have to come out sooner or later. Meanwhile, his worst nightmare is about to come true as the Master turns out to be real. Adam is in a fight for his very survival and is not sure if he can win. All the time he also has to maintain the semblance of normality in his hectic, day-to-day very stressful life, which is also about to fall apart as the police are out to get him for something they suspect he has done.The book is a dark-humoured, fast-paced, fun Urban fantasy thriller.",GoodReads,The Best Epic Fantasy (fiction),5.0,Fantasy + Science Fiction,True,True,Suspenseful,Gritty,fear,disgust,0.8556743860244751,False,0.01148838922381401,0.053335290402173996,0.8556743860244751,0.001800820347853005,0.032129786908626556,0.013281436637043953,0.03228984773159027
As You Like It,William Shakespeare,http://books.google.de/books?id=Wgko0AEACAAJ&dq=subject:fiction&hl=&as_pt=BOOKS&source=gbs_api,https://covers.openlibrary.org/b/id/7338874-L.jpg,3.73,0.0,2023,"Drama|Fathers and daughters|Exiles|Juvenile drama|Stage history|Plays|Children's plays, English|Criticism and interpretation|Comedy|Textual Criticism|Nobility|Fiction|Classic Literature|English drama|English drama (Comedy)","['childrens', 'classics', 'fiction', 'literary', 'young_adult']","This wisely funny comedy, which contains some of Shakespeare’s loveliest poetry, contrasts a court’s world of envy and rivalry with a forest’s world of compassion and harmony. In the Forest of Arden, the banished young heroine, Rosalind, disguised as a gentleman farmer, encounters an extraordinary assemblage of characters, including a fool, a malcontent traveler, her own banished father, and the banished young man she loves. Romantic happiness triumphs, even as we laugh at the excesses of love, at the ways of court and countryside, indeed, at everything, in this masterpiece of comic writing. Each Edition Includes: • Comprehensive explanatory notes • Vivid introductions and the most up-to-date scholarship • Clear, modernized spelling and punctuation, enabling contemporary readers to understand the Elizabethan English • Completely updated, detailed bibliographies and performance histories • An interpretive essay on film adaptations of the play, along with an extensive filmography",google_books,Best Books Ever,1.0,"Young Adult, Classics",True,True,Uplifting,Contemplative,joy,neutral,0.8199337124824524,False,0.011995152570307255,0.03880058601498604,0.0011275438591837883,0.8199337124824524,0.10383909940719604,0.010428434237837791,0.013875508680939674
Implosion,Joe Connor,http://books.google.de/books?id=EeQn0AEACAAJ&dq=subject:%22young+adult%22&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=EeQn0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.0,0.0,2023,"Fiction, action & adventure","['adventure', 'fiction']","The United States of the World continues to expand into the greatest empire in human history. Politicians vow that democracy and freedom will span the globe, but other rising empires vow to destroy it. Paul and Finley are two regular high school kids trying to make it through another week of exams, football, and social life. But as the religious politics of the day take over their school, an unexpected phenomenon will bring them closer together in a world shaken to its core. Unquenchable human ambition and pride are attracting a level of destruction the world has never seen. As world empires endeavor for power and control, an impending doom is at hand. Implosion is coming.",google_books,Young Adult,,,False,True,Suspenseful,Intense,fear,anger,0.9264257550239563,False,0.024424150586128235,0.008983384817838669,0.9264257550239563,0.0009776597144082189,0.01918206922709942,0.004044283181428909,0.0159626267850399
None of This Is True,Lisa Jewell,https://www.goodreads.com/book/show/62334530-none-of-this-is-true,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1686092508i/62334530.jpg,4.07,390.0,2023,Thriller|Mystery|Audiobook|Fiction|Book Club|Mystery Thriller|Suspense,"['contemporary', 'fiction', 'mystery']","Celebrating her forty-fifth birthday at her local pub, popular podcaster Alix Summers crosses paths with an unassuming woman called Josie Fair. Josie, it turns out, is also celebrating her forty-fifth birthday. They are, in fact, birthday twins.A few days later, Alix and Josie bump into each other again, this time outside Alix’s children’s school. Josie has been listening to Alix’s podcasts and thinks she might be an interesting subject for her series. She is, she tells Alix, on the cusp of great changes in her life.Josie’s life appears to be strange and complicated, and although Alix finds her unsettling, she can’t quite resist the temptation to keep making the podcast. Slowly she starts to realise that Josie has been hiding some very dark secrets, and before she knows it, Josie has inveigled her way into Alix’s life—and into her home.But, as quickly as she arrived, Josie disappears. Only then does Alix discover that Josie has left a terrible and terrifying legacy in her wake, and that Alix has become the subject of her own true crime podcast, with her life and her family’s lives under mortal threat.Who is Josie Fair? And what has she done?",GoodReads,Books That Should Be Made Into Movies,2.0,Mystery + Contemporary,True,True,Suspenseful,Contemplative,fear,neutral,0.9386405348777771,False,0.003316103247925639,0.005223060492426157,0.9386405348777771,0.008952501229941845,0.02067718841135502,0.0051477518863976,0.018042877316474915
The Housemaid's Secret,Freida McFadden,https://www.goodreads.com/book/show/62848145-the-housemaid-s-secret,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1664729357i/62848145.jpg,4.15,311.0,2023,Thriller|Mystery|Fiction|Audiobook|Mystery Thriller|Suspense|Crime,"['fiction', 'mystery']","As he continues showing me their incredible penthouse apartment, I have a terrible feeling about the woman behind closed doors. But I can't risk losing this job – not if I want to keep my darkest secret safe . . .It's hard to find an employer who doesn't ask too many questions about my past. So I thank my lucky stars that the Garricks miraculously give me a job, cleaning their stunning penthouse with views across the city and preparing fancy meals in their shiny kitchen. I can work here for a while, stay quiet until I get what I want. It's almost perfect. But I still haven't met Mrs Garrick, or seen inside the guest bedroom. I'm sure I hear her crying. I notice spots of blood around the neck of her white nightgowns when I'm doing laundry. And one day I can't help but knock on the door. When it gently swings open, what I see inside changes everything...That's when I make a promise. After all, I've done this before. I can protect Mrs. Garrick while keeping my own secrets locked up safe. Douglas Garrick has done wrong. He is going to pay. It's simply a question of how far I'm willing to go...",GoodReads,Books That Should Be Made Into Movies,,,False,True,Suspenseful,Gritty,fear,disgust,0.8932889103889465,False,0.006951419170945883,0.050422053784132004,0.8932889103889465,0.003481810912489891,0.019556375220417976,0.020342623814940453,0.005956787150353193
A Flicker in the Dark,Stacy Willingham,https://www.goodreads.com/book/show/57693172-a-flicker-in-the-dark,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1621347398i/57693172.jpg,3.96,357.0,2022,Thriller|Mystery|Mystery Thriller|Fiction|Audiobook|Book Club|Crime,"['contemporary', 'fiction', 'mystery']","When Chloe Davis was twelve, six teenage girls went missing in her small Louisiana town. By the end of the summer, Chloe’s father had been arrested as a serial killer and promptly put in prison. Chloe and the rest of her family were left to grapple with the truth and try to move forward while dealing with the aftermath.Now 20 years later, Chloe is a psychologist in private practice in Baton Rouge and getting ready for her wedding. She finally has a fragile grasp on the happiness she’s worked so hard to get. Sometimes, though, she feels as out of control of her own life as the troubled teens who are her patients. And then a local teenage girl goes missing, and then another, and that terrifying summer comes crashing back. Is she paranoid, and seeing parallels that aren't really there, or for the second time in her life, is she about to unmask a killer?In a debut novel that has already been optioned for a limited series by actress Emma Stone and sold to a dozen countries around the world, Stacy Willingham has created an unforgettable character in a spellbinding thriller that will appeal equally to fans of Gillian Flynn and Karin Slaughter.",GoodReads,Books That Should Be Made Into Movies,2.0,Mystery + Contemporary,True,True,Suspenseful,Contemplative,fear,neutral,0.9601306915283203,False,0.005042368080466986,0.0029169016052037477,0.9601306915283203,0.0012770597822964191,0.014268700033426285,0.013498973101377487,0.0028653533663600683
The Kindred,Alechia Dow,http://books.google.de/books?id=fchnzgEACAAJ&dq=subject:%22young+adult%22&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=fchnzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.625,368.0,2022,Young Adult Fiction,"['fiction', 'young_adult']","To save a galactic kingdom from revolution, Kindred mind-pairings were created to ensure each and every person would be seen and heard, no matter how rich or poor... Joy Abara knows her place. A commoner from the lowly planet Hali, she lives a simple life--apart from the notoriety that being Kindred to the nobility's most infamous playboy brings. Duke Felix Hamdi has a plan. He will exasperate his noble family to the point that they agree to let him choose his own future and finally meet his Kindred face-to-face. Then the royal family is assassinated, putting Felix next in line for the throne...and accused of the murders. Someone will stop at nothing until he's dead, which means they'll target Joy, too. Meeting in person for the first time as they steal a spacecraft and flee amid chaos might not be ideal...and neither is crash-landing on the strange backward planet called Earth. But hiding might just be the perfect way to discover the true strength of the Kindred bond and expose a scandal--and a love--that may decide the future of a galaxy.",google_books,Young Adult,,,False,True,Contemplative,Intense,neutral,anger,0.585581362247467,False,0.2951910197734833,0.05550388991832733,0.0317440889775753,0.006293242331594229,0.585581362247467,0.017814015969634056,0.007872287184000015
A Tale of Two Cities,Charles Dickens,http://books.google.de/books?id=Mhn3zgEACAAJ&dq=subject:classics&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=Mhn3zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.88,424.0,2022,Fiction,['fiction'],"One of the best-selling novels of all time is now distinctively packaged in hardcover with a beautifully designed jacket by noted illustrator Malika Favre. When millions suffer under iron-fisted oppression, when anger and resentment boil over into bloody insurrection, when triumph leads to savage vengeance--does one individual life matter? In A Tale of Two Cities, Charles Dickens interweaves the intensely personal dramas of Lucie Manette, Charles Darnay, and Sydney Carton with the terror and chaos of the French Revolution. The result is a powerful story of love, sacrifice, and redemption amid horrific violence and world-changing events.",google_books,Books You Should Read,,,False,True,Suspenseful,Intense,fear,anger,0.8796441555023193,False,0.06261672079563141,0.03303823247551918,0.8796441555023193,0.0014234620612114668,0.01734703779220581,0.0031929316464811563,0.0027374541386961937
